#    total_rate        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      401.21193      1.4729115      387.23365      1.3724239      418.82343      1.6039554
              1      401.21193      1.4729115      387.23365      1.3724239      418.82343      1.6039554
