#        n_jets        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      274.71346      1.4611302      269.37136      1.3676837      278.36878      1.5431398
              1      126.49847     0.42417909        113.815     0.38164843      142.47861     0.47776427
              2              0              0              0              0              0              0
              3              0              0              0              0              0              0
