#       pT_lep2        central        num_err    min (scale)        num_err    max (scale)        num_err
              0              0              0              0              0              0              0
             10              0              0              0              0              0              0
             20      14.853342     0.11566772      14.408264     0.10699555      15.414103     0.12689395
             30      11.011915    0.096880305      10.641113    0.089275566      11.479096     0.10668722
             40       5.859395    0.078649293       5.626156     0.07203019      6.1532573    0.087133169
             50      3.0823858    0.060460342      2.9546716    0.055195572      3.2432953    0.067187233
             60      1.7661205    0.041800069      1.6939378    0.038215595      1.8570649    0.046386529
             70      1.0613887    0.036331934      1.0163516    0.033033738      1.1201206    0.038175443
             80     0.70802354    0.023943705     0.67602179    0.022633383     0.75012297    0.025407703
             90     0.46326751    0.016890317     0.44166184    0.015784792     0.49208984    0.018197826
            100     0.33170443    0.017382216      0.3146073    0.016155453     0.35421845    0.018782286
            110     0.24662672    0.018248557      0.2339909    0.016768386     0.26318974    0.019966323
            120     0.16720569    0.015878673      0.1579839    0.014446866     0.17942588    0.017561823
            130     0.12945715   0.0088900794     0.12190131   0.0082074685     0.13938019   0.0096801928
            140    0.093402673   0.0076107092    0.088278947   0.0070041989     0.10027683   0.0083276388
            150    0.066600842   0.0088868696    0.062663232   0.0079770616     0.07194191   0.0099942416
            160    0.047061182   0.0089459356     0.04457978   0.0080359662    0.050507861    0.010047379
            170    0.035695811   0.0074421293    0.034160729   0.0068033655    0.037918556   0.0081821628
            180    0.031737412    0.004506026    0.029701369   0.0040872361    0.034517814   0.0050042075
            190    0.024467322   0.0042631112    0.023109345   0.0038699015    0.026304773   0.0047297285
            200    0.024467322   0.0042631112    0.023109345   0.0038699015    0.026304773   0.0047297285
