#       pT_lep1        central        num_err    min (scale)        num_err    max (scale)        num_err
              0              0              0              0              0              0              0
             10              0              0              0              0              0              0
             20      1.5899545    0.025251707      1.5286597    0.023151315      1.6726425     0.02798457
             30      6.2147266    0.042167794      5.9820718    0.038591145      6.5270684    0.046864132
             40       7.722199    0.046848322      7.4319339    0.042821648      8.1049588    0.052045066
             50      6.3116858    0.042110468      6.0546436    0.038460198      6.6458211     0.04680202
             60      4.6311147    0.035508524      4.4201386    0.032374958      4.9038726    0.039527336
             70      3.3964893    0.031444594      3.2220554    0.028574967       3.620996    0.035108092
             80       2.437057    0.026835569      2.3018241    0.024334888       2.610788    0.030020189
             90         1.7865    0.022627633      1.6821978    0.020495072      1.9202569    0.025339148
            100      1.3682241    0.022682076      1.2833669    0.020490289      1.4768835     0.02545978
            110       1.001478    0.014302644     0.93811464    0.013260014      1.0818112    0.016019899
            120     0.79884967    0.010771651     0.74319284   0.0099173817     0.86836349    0.011776457
            130     0.61967335    0.017119249     0.57399393    0.015770054     0.67672941    0.018644653
            140     0.50041877   0.0092233775     0.46128842   0.0083631869     0.54953604    0.010261304
            150     0.39164084   0.0070668903     0.35924103   0.0063931452     0.43236351   0.0078808591
            160      0.3257178   0.0055668317     0.29788054   0.0050387521     0.36087073   0.0062069606
            170     0.25619488   0.0051331539     0.23310081    0.004621834     0.28552871   0.0057573523
            180     0.22894859    0.005272973     0.20740081   0.0047450899     0.25622047   0.0059109964
            190     0.17934785   0.0047655493     0.16189699   0.0042743125     0.20165344   0.0053607295
            200     0.17934785   0.0047655493     0.16189699   0.0042743125     0.20165344   0.0053607295
