#    total_rate        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      408.77704     0.71619876      389.50925     0.66127156      433.82326     0.78855061
              1      408.77704     0.71619876      389.50925     0.66127156      433.82326     0.78855061
