#        n_jets        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      281.31592      0.7031657      274.82683     0.64984974      290.25171     0.77352544
              1      127.46112     0.23658089      114.68242      0.2128623      143.57156      0.2664835
              2              0              0              0              0              0              0
              3              0              0              0              0              0              0
