#    total_rate        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      437.37793      3.5133632      424.70049      2.8244089      451.50346      4.3247907
              1      437.37793      3.5133632      424.70049      2.8244089      451.50346      4.3247907
