#      muR       muF  cross_section        num_err
       0.5       0.5      451.50346      4.3247907
       0.5         1      451.24481      4.5172506
         2         1      424.70049      2.8244089
         1         1      437.37793      3.5133632
         1         2      438.04886      3.6462594
         1       0.5      436.26676      3.3720397
         2         2      426.10454       2.926007
