#      muR       muF  cross_section        num_err
       0.5       0.5      223.61786     0.33367304
       0.5         1      240.29831     0.35984617
         2         1      240.29831     0.35984617
         1         1      240.29831     0.35984617
         1         2      254.20907     0.38196818
         1       0.5      223.61786     0.33367304
         2         2      254.20907     0.38196818
