#      muR       muF  cross_section        num_err
       0.5       0.5      443.07222       9.612123
       0.5         1      442.85938      10.503627
         2         1      418.95166      6.6902572
         1         1      430.53005      8.2741205
         1         2      431.28575      8.7749922
         1       0.5       429.3804      7.5854923
         2         2      420.27702      7.2270844
