#      muR       muF  cross_section        num_err
       0.5       0.5      31.991891     0.15586711
       0.5         1      33.431155     0.16565362
         2         1      21.330852     0.10569581
         1         1      26.349358     0.13056284
         1         2      27.002516     0.13576837
         1       0.5      25.214977     0.12284943
         2         2       21.85961     0.10990989
