#    total_rate        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      374.86257      1.4671134      360.88429      1.3661994      392.47407      1.5986326
              1      374.86257      1.4671134      360.88429      1.3661994      392.47407      1.5986326
