#        n_jets        central        num_err    min (scale)        num_err    max (scale)        num_err
              0       248.3641      1.4552851        243.022      1.3614375      252.01942      1.5376065
              1      126.49847     0.42417909        113.815     0.38164843      142.47861     0.47776427
              2              0              0              0              0              0              0
              3              0              0              0              0              0              0
