#      muR       muF  cross_section        num_err
       0.5       0.5      200.11194     0.68329128
       0.5         1      215.98253     0.74026186
         2         1      215.98253     0.74026186
         1         1      215.98253     0.74026186
         1         2      229.67595     0.79000787
         1       0.5      200.11194     0.68329128
         2         2      229.67595     0.79000787
