#      muR       muF  cross_section        num_err
       0.5       0.5      386.66058      1.4993921
       0.5         1      392.47407      1.5986326
         2         1      360.88429      1.3661994
         1         1      374.86257      1.4671134
         1         2      379.09335       1.548107
         1       0.5      367.75033      1.3746044
         2         2      366.14868      1.4425698
