#      muR       muF  cross_section        num_err
       0.5       0.5      218.05726     0.74456612
       0.5         1      235.45031     0.80706552
         2         1      235.45031     0.80706552
         1         1      235.45031     0.80706552
         1         2      249.98976     0.86000482
         1       0.5      218.05726     0.74456612
         2         2      249.98976     0.86000482
