# total_rate__l        central        num_err    min (scale)        num_err    max (scale)        num_err
# oop-induced_QCD.dat
              0      26.349358     0.13056284      21.330852     0.10569581      33.431155     0.16565362
              1      26.349358     0.13056284      21.330852     0.10569581      33.431155     0.16565362
