#       pT_lep2        central        num_err    min (scale)        num_err    max (scale)        num_err
              0              0              0              0              0              0              0
             10              0              0              0              0              0              0
             20      8.2882401    0.051794221      7.6428823    0.047779728      8.8493229    0.055305123
             30      6.0393663    0.039617769      5.5585875    0.036402982      6.4583855    0.042439321
             40      3.0067696    0.027878875      2.7791192    0.025687042      3.2035112    0.029789833
             50      1.5535013    0.019422939      1.4463697    0.018012632      1.6447219    0.020637627
             60      0.9035809    0.014124011     0.84742514    0.013181542      0.9505968    0.014925293
             70     0.52977646   0.0099563036     0.50045907   0.0093573206     0.55385925    0.010458233
             80     0.35555102   0.0078004534     0.33819036   0.0073822477     0.36949728   0.0081438734
             90     0.23588238   0.0059830887     0.22549031   0.0056855558     0.24405788   0.0062238028
            100     0.16413022   0.0046181734     0.15814793   0.0044248479     0.16865107   0.0047696188
            110     0.12065813   0.0038306389     0.11685498   0.0036927753     0.12343479   0.0039359484
            120    0.082613802    0.003004323    0.080415254   0.0029098965    0.084141083   0.0030740443
            130    0.060551294   0.0023696121    0.059316896   0.0023099384     0.06132964   0.0024109773
            140    0.051490922   0.0022398812    0.050544805   0.0021881859    0.052056674   0.0022746908
            150    0.034916443   0.0016767718    0.034394438   0.0016444995    0.035193119   0.0016969718
            160    0.029175458    0.001537515    0.028949855   0.0015183013    0.029219667   0.0015468186
            170    0.025320363   0.0013648129    0.025197538   0.0013540467    0.025320363   0.0013648129
            180    0.017404234   0.0010848784     0.01730093   0.0010816422      0.0174172   0.0010823029
            190    0.014672422  0.00096877451    0.014588541  0.00096827774    0.014680256  0.00096382587
            200    0.014672422  0.00096877451    0.014588541  0.00096827774    0.014680256  0.00096382587
